企業名,所在地,TEL,業種分類
トマト精密工業（株）,愛知県名古屋市中区栄3丁目15番27号,052-123-4567,製造
（株）メロンテック,愛知県名古屋市東区泉1丁目2番3号,052-234-5678,情報通信
ラディッシュ金属加工（株）,愛知県豊田市元城町1番1号,0565-12-3456,製造
株式会社レンコンデジタル,愛知県名古屋市中村区名駅4-7-1,052-345-6789,情報通信
ブルーベリー物産（株）,愛知県一宮市本町2丁目3番4号,0586-12-3456,卸売・小売
スイカ機械工業株式会社,愛知県大府市中央町5-70,0562-12-3456,製造
株式会社オレンジフードサービス,愛知県豊川市豊川町仁保通1-10,0533-12-3456,飲食
パイナップルマリンテック株式会社,愛知県蒲郡市港町18-23,0533-23-4567,製造
株式会社マスカットダイニング,愛知県碧南市中町4-60,0566-34-5678,飲食
ラズベリーIT株式会社,愛知県西尾市花ノ木町4-64,0563-12-3456,情報通信
レモン食品工業株式会社,愛知県犬山市犬山北古券12,0568-23-4567,製造
株式会社ライムケータリング,愛知県小牧市堀の内3-35,0568-34-5678,飲食
