_,Date,Feeling,今日のひとこと,感動・学び・気づき①,感動・学び・気づき②,感動・学び・気づき③
250104,2025/01/04,😌,妻と子供が海外旅行。妻が初の海外。無事に帰ってきて欲しい。,家事大変。ワンオペの人尊敬。,Claudeのプロジェクト最高,やっぱり愛知県民は赤味噌好き
250105,2025/01/05,😣,洗濯もの、ストーブで十分に乾く。浴室暖房が壊れてるけど何とかなっててよかった。,家事を一人で行うのは大変。今日は休日だから普段通りにすべてのことができたけど、明日は仕事。これだけの家事をひとりでこなせるか不安。,副業の資料作成をしたが、以前までと比べるとおっくうに感じる。いまはそこまでの熱がない。,
250106,2025/01/06,😣,ゲームって難しいね！,本業が始まると、家事で抜け漏れが出てしまう。明日は今日忘れたところを重点的にやろーっと。,本業、同期がどんどん昇格。それに対して焦りも悔しいという気持ちがないということは、私はもうそこで何かを為したいと思っていないのだろう。,プロってすげーなーってやっこさんのスピード感を見てて思った！
250107,2025/01/07,😌,計画的にゲームしたい,比較的穏やかな一日。家事でやりたかったことがやれたし、カーペットを洗ってからっと乾いたから気分が良いんだ。洗濯とおちゃんとして誇れる一日だった。,本業はそこまで仕事なく。これでお金をもらっていいかと思わなくもないが、さんざんプライベートや自分を犠牲にしてきたんだ。残り２０年は楽に過ごしてやる。,スタエフのライブでわいわいするのは楽しいが、ながら聞きなので、そこまで参加できないもどかしさはある。とはいえ、雑談ライブだったりするので、そこまで思いつめるほどのことでもない。
250108,2025/01/08,😌,エビ寄せフライ、美味い。妻手作り。さすが！,妻がいてくれるとホッとする。家が物理的にも空気感的にも温かい気がする。,家事はやはり分担しないと。身体的に楽だった。ただ、余裕ができた分ダラーっともしてしまった。本当はその時間で色々やりたい。,ゲームでうまくいかないとイライラしてしまう。これはなぜ？
250109,2025/01/09,😊,久しぶりにトレーニングルームへ行った。なまってるなー,色々とうまくできた。本業はほどほどに、主にゲームや配信系。午前中にいくつやりたいことを片付けられるかで勝負は決まる。,応援される人になるにはどうしたらいいのかと考えたけど、そもそも応援する方が性に合ってると思いなおした。,やりたいことをやれる幸せっていい。けど、お金がなーい。
250110,2025/01/10,😊,楽しい、を大切にしたいが、何事もバランスが必要,羨ましい、という感情と向き合わないとなと思う。その感情を消す必要はないけど、受容できるといいなと。,いまさらながら、英語・英会話できるといいなと感じた。ビジネスというよりも、遊び・ゲームの領域にて。,放置案件がどんどんと積み上がっていく・・・この週末に全部片付けたいが、ゲームを優先しそう。。
250111,2025/01/11,😌,明日は成人の日。それにちなんだスタエフを収録した。,ボランティア活動の日だった。うん、参加する子供のマナーや躾によって、私の気分は変わる模様。今日は良かった。,すぐやる、は1番の効率化だと思った。,補助金シーズンがまたやってくる…お金は欲しいけど、正直苦しいのは嫌だ…
250112,2025/01/12,😭,うまくいかない一日だったな。,昨日はなぜか気分の谷間になった。思うように物事が進まなかったからか、ちょっと家庭内で思うようなことがあったからか、今週と来週がイベント続きでそれがプレッシャーになったのか。,もう少し調査してから質問したほうが良いと思った。いつも自分の感覚で質問してるから、客観的な事実をもとにして問い合わせたほうがいい。,やると言っていたことがやれてないプレッシャー。きっと１０分でできることなのに、もう１ヶ月位後回しにしてる。その瞬間に５０％くらいの内容でもいいから対応したい。
250113,2025/01/13,😌,明日は小学校での講座。メイン講師ではないため、子供たちとわいわい楽しむ。,穏やかな一日だった。凪っていう感じ。,次の事業を考えないといけない。焦りはないけど、やらないとなという気分。,わんちゃんの散歩中、また野良の子猫がいたらどうしよう、とか考えたりしてた。無益。
